sep=;
Change-Id=I755a77db718a92055a63ae8ec48eb9c1eb686488; subject=IB/core: Add mcion support to mst dump; feature=mlx5_sysfs_ecn_mstdump; upstream_status=NA; general=;
Change-Id=Ida318815f03e0e15327c47368f20e0819bedc2c7; subject=net/mlx5e: Update ethtool dump register map; feature=mlx5_sysfs_ecn_mstdump; upstream_status=NA; general=;
Change-Id=I8a78c20c9b49d4cf6de6e9da90e99c054eac49c8; subject=IB/mlx5: Report mlx5 TSO capabilities when querying device; feature=exp_tso; upstream_status=NA; general=;
Change-Id=I125e648401161e2a58cd3fb4e8dc0b93c6c2e0c0; subject=IB/core: Report experimental packet pacing capabilities; feature=mlx5_exp_packet_pacing; upstream_status=NA; general=;
Change-Id=Ife560188c80901df751654d40ce50cdb2137f28b; subject=net/mlx5e: Support addition of special TX queues; feature=rate_limit_en; upstream_status=NA; general=;
Change-Id=I52bd79cc4f763da02a70b9894c9767058064e3b8; subject=net/mlx5e: Adding flow mapping to queues; feature=rate_limit_en; upstream_status=NA; general=;
Change-Id=Ibaabc8cf6d4991aed20f04d9823acda17df2b950; subject=IB/mlx5: Check both CONFIG_ARM and CONFIG_ARM64; feature=arm_bf; upstream_status=NA; general=;
Change-Id=I13aaae33c3faebd616f62e508e7bc3d1d1052cf7; subject=mlx5/core: Restore IB guid/policy for virtual functions; feature=restore_ib_guid; upstream_status=in_progress; general=;
Change-Id=I3f7734f80a34fcd7d96e84cb4a3b04557e6d657a; subject=mlx5/core: Add new module parameter to choose whether to probe VFs when mlx5_core is loaded; feature=vf_startup; upstream_status=NA; general=;
Change-Id=I7e448fd74883e78db6ded08ebce01d427745b6a2; subject=IB/{core, uverbs}: Extend packet pacing with burst control; feature=mlx5_packet_packing_burst; upstream_status=NA; general=;
Change-Id=Iff9d3a36af62984116beac60f2f269cd20b6f49a; subject=IB/core: Add support for tunneled atomic; feature=tunneled_atomic; upstream_status=NA; general=;
Change-Id=I074b2ab49595acdc295700fff6955d3926782799; subject=IB/mlx5: Add support for tunneled atomic; feature=tunneled_atomic; upstream_status=NA; general=;
Change-Id=I2130cb7b5313727b156a0e1d3f2fa1ad125e1a66; subject=mlx5/core: Get pp rate limit queues based on capability; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I86ed9d9f9ed09e0aadf86dd548478b10e19fb06b; subject=IB/mlx5: Support enablement of relaxed packet ordering(ooo) from debugfs; feature=mlx5_ooo; upstream_status=NA; general=;
Change-Id=I74f7f839e45a05aaa4fec2e50df3115df0f87e2d; subject=net/mlx5: Use void pointer as the type in address_of macro; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=Iebdebf3cf61d7cddae5e1585195694e3924c4cdd; subject=net/mlx5: Use consistent vport num argument type; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=If47aa9717cc11139166236438e4edde88154d219; subject=IB/mlx5: Use unified register/load function for uplink and VF vports; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=I9d1a8e06d85e48aafe01ad8bb3912add265b9d71; subject=net/mlx5: Introduce Mellanox SmartNIC and modify page management logic; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=Ic4a688bdb33b08e3b79fe9e27030c998476c2b66; subject=net/mlx5: Update enable HCA dependency; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=Ide0a9b09f004dd2657ac9a92781557562e2aec6d; subject=net/mlx5: Add query host params command; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=I8e54f652f75362f0aae302df2ffbea92f3a41539; subject=net/mlx5: Add host params change event; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=I79a2f134f936a3dfe25ba73b0f085f22f6f6e31b; subject=net/mlx5: Provide an alternative VF upper bound for ECPF; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=I5accb094f616c711ea88ffaf33a18da3dfd66e6f; subject=net/mlx5: E-Switch, Normalize the name of uplink vport number; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=I1f9c6cedf23f3dced14575e4aa31b7b82e40e9df; subject=net/mlx5: E-Switch, Properly refer to the esw manager vport; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=I15c92337e8bb71fcdf4934a06dbc60e0120578e2; subject=net/mlx5: E-Switch, Properly refer to host PF vport as other vport; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=Ie1301a47d9a2f854cb5a9144eb735823d248f7a5; subject=net/mlx5: Relocate vport macros to the vport header file; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=Id8cefde2ecc7f4fe45eb2b70ce4d30adf1ef00e2; subject=net/mlx5: E-Switch, Avoid magic numbers when initializing offloads mode; feature=mlx5_bf; upstream_status=accepted; general=;
Change-Id=I99b05671352ba628511b66181838f7de6aa11a5e; subject=BACKPORTS: Fix MLX5 backports; feature=backports; upstream_status=ignore; general=;
